,dn,yard,a,n_yard,p
416,1,7,2,9,0.0727960981124442
417,1,7,2,10,0.44387654489979744
418,1,7,3,0,0.0
419,1,7,3,1,0.0
420,1,7,3,2,0.0
421,1,7,3,3,0.0
422,1,7,3,4,0.0
423,1,7,3,5,0.0
424,1,7,3,6,0.0
425,1,7,3,7,0.37937175657548283
426,1,7,3,8,0.04968533695282562
427,1,7,3,9,0.05111830934410977
428,1,7,3,10,0.5198245971275818
429,1,7,4,0,0.0
430,1,7,4,1,0.0
431,1,7,4,2,0.0
432,1,7,4,3,0.0
433,1,7,4,4,0.0
434,1,7,4,5,0.0
435,1,7,4,6,0.0
436,1,7,4,7,0.3610736009567337
437,1,7,4,8,0.03489967710880815
438,1,7,4,9,0.03601842262120303
439,1,7,4,10,0.5680082993132551
440,1,8,0,0,0.0
441,1,8,0,1,0.0
442,1,8,0,2,0.0
443,1,8,0,3,0.0
444,1,8,0,4,0.0
445,1,8,0,5,0.0
446,1,8,0,6,0.0
447,1,8,0,7,0.0
448,1,8,0,8,0.5720924043972323
449,1,8,0,9,0.12860114042267057
450,1,8,0,10,0.29930645518009713
451,1,8,1,0,0.0
452,1,8,1,1,0.0
453,1,8,1,2,0.0
454,1,8,1,3,0.0
455,1,8,1,4,0.0
456,1,8,1,5,0.0
457,1,8,1,6,0.0
458,1,8,1,7,0.0
459,1,8,1,8,0.5903027780617742
460,1,8,1,9,0.09749901102228109
461,1,8,1,10,0.3121982109159447
462,1,8,2,0,0.0
463,1,8,2,1,0.0
464,1,8,2,2,0.0
465,1,8,2,3,0.0
466,1,8,2,4,0.0
467,1,8,2,5,0.0
468,1,8,2,6,0.0
469,1,8,2,7,0.0
470,1,8,2,8,0.5220969835008996
471,1,8,2,9,0.0737504751592889
472,1,8,2,10,0.4041525413398115
473,1,8,3,0,0.0
474,1,8,3,1,0.0
475,1,8,3,2,0.0
476,1,8,3,3,0.0
477,1,8,3,4,0.0
478,1,8,3,5,0.0
479,1,8,3,6,0.0
480,1,8,3,7,0.0
481,1,8,3,8,0.4533930440040574
482,1,8,3,9,0.05165966249259252
483,1,8,3,10,0.4949472935033501
484,1,8,4,0,0.0
485,1,8,4,1,0.0
486,1,8,4,2,0.0
487,1,8,4,3,0.0
488,1,8,4,4,0.0
489,1,8,4,5,0.0
490,1,8,4,6,0.0
491,1,8,4,7,0.0
492,1,8,4,8,0.3725437163207187
493,1,8,4,9,0.034684314759161394
494,1,8,4,10,0.5927719689201199
495,1,9,0,0,0.0
496,1,9,0,1,0.0
497,1,9,0,2,0.0
498,1,9,0,3,0.0
499,1,9,0,4,0.0
500,1,9,0,5,0.0
501,1,9,0,6,0.0
502,1,9,0,7,0.0
503,1,9,0,8,0.0
504,1,9,0,9,0.5136692903283482
505,1,9,0,10,0.4863307096716518
506,1,9,1,0,0.0
507,1,9,1,1,0.0
508,1,9,1,2,0.0
509,1,9,1,3,0.0
510,1,9,1,4,0.0
511,1,9,1,5,0.0
512,1,9,1,6,0.0
513,1,9,1,7,0.0
514,1,9,1,8,0.0
515,1,9,1,9,0.6402628051687743
516,1,9,1,10,0.3597371948312257
517,1,9,2,0,0.0
518,1,9,2,1,0.0
519,1,9,2,2,0.0
520,1,9,2,3,0.0
521,1,9,2,4,0.0
522,1,9,2,5,0.0
523,1,9,2,6,0.0
524,1,9,2,7,0.0
525,1,9,2,8,0.0
526,1,9,2,9,0.5974203021784742
527,1,9,2,10,0.4025796978215258
528,1,9,3,0,0.0
529,1,9,3,1,0.0
530,1,9,3,2,0.0
531,1,9,3,3,0.0
532,1,9,3,4,0.0
533,1,9,3,5,0.0
534,1,9,3,6,0.0
535,1,9,3,7,0.0
536,1,9,3,8,0.0
537,1,9,3,9,0.4595151703424801
538,1,9,3,10,0.54048482965752
539,1,9,4,0,0.0
540,1,9,4,1,0.0
541,1,9,4,2,0.0
542,1,9,4,3,0.0
543,1,9,4,4,0.0
544,1,9,4,5,0.0
545,1,9,4,6,0.0
546,1,9,4,7,0.0
547,1,9,4,8,0.0
548,1,9,4,9,0.331814189398122
549,1,9,4,10,0.668185810601878
550,1,10,0,0,0.0
551,1,10,0,1,0.0
552,1,10,0,2,0.0
553,1,10,0,3,0.0
554,1,10,0,4,0.0
555,1,10,0,5,0.0
556,1,10,0,6,0.0
557,1,10,0,7,0.0
558,1,10,0,8,0.0
559,1,10,0,9,0.0
560,1,10,0,10,1.0
561,1,10,1,0,0.0
562,1,10,1,1,0.0
563,1,10,1,2,0.0
564,1,10,1,3,0.0
565,1,10,1,4,0.0
566,1,10,1,5,0.0
567,1,10,1,6,0.0
568,1,10,1,7,0.0
569,1,10,1,8,0.0
570,1,10,1,9,0.0
571,1,10,1,10,1.0
572,1,10,2,0,0.0
573,1,10,2,1,0.0
574,1,10,2,2,0.0
575,1,10,2,3,0.0
576,1,10,2,4,0.0
577,1,10,2,5,0.0
578,1,10,2,6,0.0
579,1,10,2,7,0.0
580,1,10,2,8,0.0
581,1,10,2,9,0.0
582,1,10,2,10,1.0
583,1,10,3,0,0.0
584,1,10,3,1,0.0
585,1,10,3,2,0.0
586,1,10,3,3,0.0
587,1,10,3,4,0.0
588,1,10,3,5,0.0
589,1,10,3,6,0.0
590,1,10,3,7,0.0
591,1,10,3,8,0.0
592,1,10,3,9,0.0
593,1,10,3,10,1.0
594,1,10,4,0,0.0
595,1,10,4,1,0.0
596,1,10,4,2,0.0
597,1,10,4,3,0.0
598,1,10,4,4,0.0
599,1,10,4,5,0.0
600,1,10,4,6,0.0
601,1,10,4,7,0.0
602,1,10,4,8,0.0
603,1,10,4,9,0.0
604,1,10,4,10,1.0
605,2,0,0,0,0.1801469578191778
606,2,0,0,1,0.08488811093044787
607,2,0,0,2,0.10253229729079855
608,2,0,0,3,0.11360952892235138
609,2,0,0,4,0.11547994317320676
610,2,0,0,5,0.10768014171766338
611,2,0,0,6,0.09210925228461331
612,2,0,0,7,0.07227919574593733
613,2,0,0,8,0.052032447079423005
614,2,0,0,9,0.03436404458140485
615,2,0,0,10,0.044878080454975766
616,2,0,1,0,0.27870542648616
617,2,0,1,1,0.08495986555350266
618,2,0,1,2,0.09269908503839153
619,2,0,1,3,0.09540184963070991
620,2,0,1,4,0.09260986495475598
621,2,0,1,5,0.08479636349950082
622,2,0,1,6,0.07323493331133746
623,2,0,1,7,0.059660058580587094
624,2,0,1,8,0.045843676004824085
625,2,0,1,9,0.033228960382761685
626,2,0,1,10,0.058859916557468805
627,2,0,2,0,0.26329056164237896
628,2,0,2,1,0.06318566998800207
629,2,0,2,2,0.06894713176547784
630,2,0,2,3,0.0726345711113755
631,2,0,2,4,0.07387529324146375
632,2,0,2,5,0.07254097821635574
633,2,0,2,6,0.06876954354806619
634,2,0,2,7,0.0629416562388514
635,2,0,2,8,0.055617430485331965
636,2,0,2,9,0.04744788004249567
637,2,0,2,10,0.1507492837202009
638,2,0,3,0,0.25105203609081245
639,2,0,3,1,0.04372741044085293
640,2,0,3,2,0.04719730406657929
641,2,0,3,3,0.05001085671851113
642,2,0,3,4,0.05202285107584653
643,2,0,3,5,0.053125884006821056
644,2,0,3,6,0.05325986187807563
645,2,0,3,7,0.05241742342180411
646,2,0,3,8,0.05064460920423264
647,2,0,3,9,0.04803669297511226
648,2,0,3,10,0.29850507012135197
649,2,0,4,0,0.2666215567210718
650,2,0,4,1,0.030552344403311504
651,2,0,4,2,0.032226881723868894
652,2,0,4,3,0.03369052550475954
653,2,0,4,4,0.034906987281346114
654,2,0,4,5,0.03584524259878591
655,2,0,4,6,0.036480844650022826
656,2,0,4,7,0.036796982414666224
657,2,0,4,8,0.03678521938308654
658,2,0,4,9,0.03644586755515267
659,2,0,4,10,0.419647547763928
660,2,1,0,0,0.0
661,2,1,0,1,0.1819542944215057
662,2,1,0,2,0.08672655891196204
663,2,1,0,3,0.10468581345596745
664,2,1,0,4,0.11563299364142804
665,2,1,0,5,0.11687765578451731
666,2,1,0,6,0.1081027229294721
667,2,1,0,7,0.09149528219888448
668,2,1,0,8,0.0708633887231589
669,2,1,0,9,0.05022450451148086
670,2,1,0,10,0.07343678542162313
671,2,1,1,0,0.0
672,2,1,1,1,0.29348686135545404
673,2,1,1,2,0.08671873254764145
674,2,1,1,3,0.09361454368097916
675,2,1,1,4,0.09531996268438375
676,2,1,1,5,0.09154489372323071
677,2,1,1,6,0.08292676063028537
678,2,1,1,7,0.07085449109681907
679,2,1,1,8,0.05710258415232716
680,2,1,1,9,0.04340767402202039
681,2,1,1,10,0.08502349610685889
682,2,1,2,0,0.0
683,2,1,2,1,0.2733721436615144
684,2,1,2,2,0.06342069334156825
685,2,1,2,3,0.06876371897931322
686,2,1,2,4,0.07204279294982385
687,2,1,2,5,0.07293294529291167
688,2,1,2,6,0.07134421144797254
689,2,1,2,7,0.06743661415202695
690,2,1,2,8,0.06159359912359619
691,2,1,2,9,0.054360029507076635
692,2,1,2,10,0.1947332515441963
693,2,1,3,0,0.0
694,2,1,3,1,0.2577337073373145
695,2,1,3,2,0.043326247495780734
696,2,1,3,3,0.046582443101397475
697,2,1,3,4,0.049203731293179565
698,2,1,3,5,0.051059615528088464
699,2,1,3,6,0.052054731867251514
700,2,1,3,7,0.052136966740344404
701,2,1,3,8,0.05130197849767859
702,2,1,3,9,0.049593576717715804
703,2,1,3,10,0.34700700142124896
704,2,1,4,0,0.0
705,2,1,4,1,0.272246879354785
706,2,1,4,2,0.03017805563296705
707,2,1,4,3,0.031760365488788245
708,2,1,4,4,0.03313916697414809
709,2,1,4,5,0.03428142537765355
710,2,1,4,6,0.035159025920091846
711,2,1,4,7,0.035749922840380866
712,2,1,4,8,0.03603905947513364
713,2,1,4,9,0.036019005736301235
714,2,1,4,10,0.4554270931997505
715,2,2,0,0,0.0
716,2,2,0,1,0.0
717,2,2,0,2,0.1871638743207499
718,2,2,0,3,0.08942685175848816
719,2,2,0,4,0.10743703829963458
720,2,2,0,5,0.1178242088223328
721,2,2,0,6,0.11795251841552767
722,2,2,0,7,0.10778837049070022
723,2,2,0,8,0.0899146355518603
724,2,2,0,9,0.0684679709245899
725,2,2,0,10,0.11402453141611646
726,2,2,1,0,0.0
727,2,2,1,1,0.0
728,2,2,1,2,0.30954799289865775
729,2,2,1,3,0.08834924034606545
730,2,2,1,4,0.09430216171852723
731,2,2,1,5,0.09494829341672589
732,2,2,1,6,0.09017769797877806
733,2,2,1,7,0.08079014221519942
734,2,2,1,8,0.06827581308491593
735,2,2,1,9,0.054428785575816985
736,2,2,1,10,0.11917987276531328
737,2,2,2,0,0.0
738,2,2,2,1,0.0
739,2,2,2,2,0.2819300236300667
740,2,2,2,3,0.06345243440922282
741,2,2,2,4,0.06843692850794852
742,2,2,2,5,0.07138226152896976
743,2,2,2,6,0.07200239865474234
744,2,2,2,7,0.0702360857325679
745,2,2,2,8,0.06625682073221995
746,2,2,2,9,0.06044475905113833
747,2,2,2,10,0.24585828775312368
748,2,2,3,0,0.0
749,2,2,3,1,0.0
750,2,2,3,2,0.26120308036467177
751,2,2,3,3,0.04280959089495834
752,2,2,3,4,0.045927706100772625
753,2,2,3,5,0.04843523867523292
754,2,2,3,6,0.050211164132490216
755,2,2,3,7,0.051167092753021004
756,2,2,3,8,0.051254558769367076
757,2,2,3,9,0.05046909212039041
758,2,2,3,10,0.39852247618909564
759,2,2,4,0,0.0
760,2,2,4,1,0.0
761,2,2,4,2,0.27346699398326446
762,2,2,4,3,0.029870967447283014
763,2,2,4,4,0.031424637445590375
764,2,2,4,5,0.03278037839098108
765,2,2,4,6,0.033906239743353994
766,2,2,4,7,0.03477496704204214
767,2,2,4,8,0.03536509748973726
768,2,2,4,9,0.035661840943626455
769,2,2,4,10,0.4927488775141212
770,2,3,0,0,0.0
771,2,3,0,1,0.0
772,2,3,0,2,0.0
773,2,3,0,3,0.19730451300470986
774,2,3,0,4,0.09334319849638861
775,2,3,0,5,0.11097746600215408
776,2,3,0,6,0.12014844110415313
777,2,3,0,7,0.11844883157447494
778,2,3,0,8,0.10633417123988731
779,2,3,0,9,0.08692537808106893
780,2,3,0,10,0.16651800049716314
781,2,3,1,0,0.0
782,2,3,1,1,0.0
783,2,3,1,2,0.0
784,2,3,1,3,0.32505307872968114
785,2,3,1,4,0.0897382171953447
786,2,3,1,5,0.09477065645618843
787,2,3,1,6,0.09441677274239568
788,2,3,1,7,0.08873668094563936
789,2,3,1,8,0.07867503295148404
790,2,3,1,9,0.06580405917549126
791,2,3,1,10,0.1628055018037754
792,2,3,2,0,0.0
793,2,3,2,1,0.0
794,2,3,2,2,0.0
795,2,3,2,3,0.28595506863819153
796,2,3,2,4,0.06318041620896153
797,2,3,2,5,0.0679735140133072
798,2,3,2,6,0.07076621702345542
799,2,3,2,7,0.07129196460445597
800,2,3,2,8,0.0694997677751229
801,2,3,2,9,0.0655623603987805
802,2,3,2,10,0.30577069133772494
803,2,3,3,0,0.0
804,2,3,3,1,0.0
805,2,3,3,2,0.0
806,2,3,3,3,0.2590212322813955
807,2,3,3,4,0.042177129916509404
808,2,3,3,5,0.0452818904960009
809,2,3,3,6,0.04780193140775535
810,2,3,3,7,0.04961794650794987
811,2,3,3,8,0.05064119851115845
812,2,3,3,9,0.0508207037745137
